	ROC_12_25
0.000129829	0.493000
0.000130306	0.495000
0.000132216	0.501000
0.00013317	0.502000
0.00013508	0.503000
0.000136511	0.504000
0.000137943	0.512000
0.000138421	0.513000
0.000138898	0.514000
0.00014033	0.520000
0.000140807	0.521000
0.000141285	0.524000
0.000142717	0.530000
0.000143671	0.536000
0.000145103	0.539000
0.00014558	0.547000
0.000146058	0.549000
0.00014749	0.551000
0.000148922	0.556000
0.000149876	0.559000
0.000151308	0.562000
0.000153695	0.563000
0.000154649	0.568000
0.000157513	0.569000
0.000160854	0.576000
0.000162286	0.577000
0.000163241	0.590000
0.000168491	0.593000
0.000170401	0.594000
0.000170878	0.599000
0.000176606	0.601000
0.000178038	0.602000
0.00017947	0.603000
0.000181379	0.605000
0.000182334	0.617000
0.000184243	0.619000
0.000185675	0.623000
0.000189016	0.625000
0.000189493	0.627000
0.000190925	0.632000
0.000191402	0.636000
0.00019188	0.637000
0.000194744	0.639000
0.000195698	0.640000
0.000199517	0.644000
0.000200471	0.646000
0.000201426	0.647000
0.000202381	0.649000
0.000203335	0.651000
0.00020429	0.652000
0.000206676	0.655000
0.000207154	0.656000
0.000208108	0.657000
0.000209063	0.661000
0.00020954	0.663000
0.000210972	0.668000
0.000212404	0.672000
0.000214791	0.673000
0.000216223	0.675000
0.000220996	0.676000
0.000221473	0.677000
0.000223382	0.678000
0.00022386	0.679000
0.000229587	0.690000
0.000230065	0.691000
0.000231019	0.692000
0.000233883	0.693000
0.000236747	0.694000
0.000239134	0.695000
0.000240566	0.698000
0.000241998	0.702000
0.00024343	0.704000
0.000245339	0.706000
0.000247248	0.711000
0.000249157	0.716000
0.000250112	0.719000
0.000251067	0.720000
0.000258704	0.721000
0.000259181	0.722000
0.00026109	0.723000
0.000261567	0.724000
0.000262522	0.726000
0.000263954	0.728000
0.000274455	0.729000
0.000277796	0.730000
0.000278751	0.741000
0.000279228	0.743000
0.000279705	0.744000
0.000283524	0.745000
0.000284001	0.746000
0.00028591	0.758000
0.000286388	0.759000
0.000288774	0.760000
0.000291161	0.763000
0.000291638	0.765000
0.000292593	0.770000
0.000293547	0.771000
0.000294979	0.779000
0.000295457	0.788000
0.000301662	0.790000
0.000302139	0.795000
0.000307389	0.796000
0.000311685	0.799000
0.00031264	0.800000
0.000319322	0.801000
0.000324095	0.802000
0.000327437	0.804000
0.000329823	0.807000
0.000331255	0.808000
0.000331732	0.809000
0.000334119	0.812000
0.000337937	0.813000
0.000350348	0.814000
0.000351302	0.817000
0.000357985	0.819000
0.000358462	0.824000
0.000358939	0.825000
0.000361326	0.827000
0.00036228	0.831000
0.000363712	0.832000
0.000366099	0.838000
0.000368486	0.839000
0.000372781	0.840000
0.0003766	0.841000
0.000379464	0.846000
0.000397602	0.850000
0.000399988	0.852000
0.000401897	0.854000
0.000404284	0.856000
0.000405239	0.857000
0.000406193	0.858000
0.000407625	0.859000
0.000412398	0.861000
0.000417171	0.862000
0.000421945	0.865000
0.000427672	0.867000
0.000432445	0.869000
0.000432923	0.870000
0.000437696	0.871000
0.000438173	0.873000
0.000442469	0.875000
0.000447242	0.878000
0.000451538	0.879000
0.000453447	0.880000
0.000464425	0.885000
0.000469199	0.886000
0.000473972	0.890000
0.000480654	0.891000
0.0004902	0.892000
0.000496405	0.897000
0.000499747	0.900000
0.000500224	0.902000
0.000506429	0.903000
0.000509293	0.904000
0.000520271	0.905000
0.000523135	0.909000
0.000533636	0.910000
0.000535068	0.911000
0.000537932	0.912000
0.000540795	0.913000
0.000546523	0.914000
0.000551296	0.915000
0.000552251	0.916000
0.000566093	0.917000
0.000568002	0.919000
0.000575162	0.921000
0.000575639	0.922000
0.000579935	0.923000
0.000596164	0.924000
0.00060046	0.928000
0.000601891	0.929000
0.000608097	0.930000
0.000620029	0.931000
0.000622893	0.932000
0.000623848	0.935000
0.000624803	0.936000
0.000626234	0.937000
0.000631962	0.939000
0.000638167	0.940000
0.000641986	0.942000
0.0006501	0.943000
0.000652964	0.944000
0.000664897	0.945000
0.000680171	0.947000
0.000695922	0.948000
0.000699741	0.949000
0.000701173	0.952000
0.000720265	0.956000
0.000733153	0.957000
0.0007532	0.959000
0.00078327	0.960000
0.000840071	0.961000
0.000858208	0.962000
0.000896871	0.963000
0.000909758	0.964000
0.000972764	0.965000
0.00100761	0.966000
0.00105773	0.967000
0.001073	0.968000
0.00107873	0.969000
0.00108636	0.970000
0.00110975	0.971000
0.0011446	0.972000
0.00115892	0.973000
0.00116082	0.974000
0.00116655	0.975000
0.0011823	0.976000
0.0012329	0.977000
0.00125438	0.978000
0.00128827	0.979000
0.00131166	0.981000
0.00133457	0.982000
0.00134125	0.983000
0.0013613	0.984000
0.00138707	0.985000
0.00149399	0.986000
0.00151738	0.987000
0.00153265	0.988000
0.00195985	0.989000
0.00214934	0.990000
0.00243859	0.991000
0.00253787	0.992000
0.00264909	0.993000
0.00273548	0.994000
0.0028696	0.995000
0.00302091	0.996000
0.00315265	0.997000
0.00339369	0.998000
0.00363283	0.999000
0.005	0.999708
	ROC_12_27
0	0
2.38656e-07	0.001000
4.77313e-07	0.002000
9.54626e-07	0.003000
1.90925e-06	0.006000
2.38656e-06	0.012000
2.86388e-06	0.015000
3.34119e-06	0.020000
4.29582e-06	0.022000
4.77313e-06	0.024000
5.25044e-06	0.025000
5.72775e-06	0.029000
6.68238e-06	0.030000
7.63701e-06	0.031000
8.11432e-06	0.037000
8.59163e-06	0.042000
9.54626e-06	0.043000
1.00236e-05	0.044000
1.09782e-05	0.047000
1.19328e-05	0.049000
1.24101e-05	0.050000
1.28874e-05	0.060000
1.33648e-05	0.061000
1.38421e-05	0.074000
1.47967e-05	0.076000
1.5274e-05	0.078000
1.62286e-05	0.079000
1.67059e-05	0.080000
1.71833e-05	0.091000
1.76606e-05	0.095000
1.86152e-05	0.097000
2.00471e-05	0.100000
2.05245e-05	0.102000
2.14791e-05	0.110000
2.19564e-05	0.112000
2.24337e-05	0.119000
2.2911e-05	0.125000
2.33883e-05	0.137000
2.38656e-05	0.140000
2.48203e-05	0.144000
