	ROC_8_40
0.000354562	0.754000
0.000355035	0.757000
0.000356453	0.758000
0.000357398	0.760000
0.000357871	0.761000
0.000362599	0.763000
0.00036449	0.765000
0.000367799	0.767000
0.000368744	0.768000
0.00036969	0.771000
0.000370635	0.772000
0.000372526	0.773000
0.00037489	0.774000
0.000379618	0.775000
0.000380563	0.776000
0.000381509	0.777000
0.0003834	0.778000
0.000384345	0.779000
0.000386709	0.780000
0.0003938	0.781000
0.000394746	0.782000
0.000396637	0.783000
0.000398055	0.785000
0.000398528	0.787000
0.000401837	0.788000
0.00040231	0.789000
0.000406092	0.791000
0.000410346	0.792000
0.000410819	0.793000
0.000416492	0.794000
0.000419801	0.795000
0.000420747	0.796000
0.00042122	0.798000
0.000421692	0.800000
0.000428311	0.801000
0.000430202	0.804000
0.000432566	0.805000
0.000434457	0.806000
0.000438239	0.809000
0.000442966	0.810000
0.00044533	0.811000
0.000446275	0.815000
0.000448639	0.816000
0.000454312	0.818000
0.00045573	0.820000
0.000458567	0.821000
0.000460458	0.825000
0.000460931	0.827000
0.000461876	0.828000
0.00046424	0.829000
0.000466131	0.830000
0.000467549	0.831000
0.000470386	0.833000
0.000472277	0.835000
0.000479841	0.837000
0.000484095	0.838000
0.000484568	0.839000
0.000485041	0.840000
0.000490714	0.843000
0.00049355	0.845000
0.00049686	0.846000
0.000503005	0.847000
0.000513879	0.849000
0.000519551	0.850000
0.00052097	0.851000
0.000523333	0.852000
0.000528061	0.853000
0.000529952	0.854000
0.000530425	0.855000
0.000536098	0.856000
0.000545553	0.857000
0.000547916	0.858000
0.000551226	0.859000
0.000555008	0.860000
0.000556426	0.861000
0.000566826	0.863000
0.000570608	0.864000
0.000578645	0.865000
0.000580536	0.866000
0.000605119	0.867000
0.000606065	0.868000
0.000614574	0.869000
0.000615992	0.870000
0.000622138	0.871000
0.000622611	0.872000
0.000624502	0.873000
0.000624975	0.874000
0.000628284	0.875000
0.000635375	0.876000
0.000635848	0.878000
0.000637266	0.879000
0.000637739	0.881000
0.000640103	0.883000
0.000645303	0.885000
0.000647667	0.886000
0.000648612	0.887000
0.000659958	0.888000
0.000667995	0.890000
0.000674141	0.891000
0.000683123	0.892000
0.000683596	0.893000
0.000686432	0.895000
0.000687377	0.897000
0.000688796	0.898000
0.000709124	0.899000
0.000714797	0.900000
0.000715742	0.901000
0.000716215	0.902000
0.000736543	0.904000
0.000740325	0.905000
0.000742689	0.906000
0.000745053	0.907000
0.000745998	0.908000
0.000746471	0.909000
0.000759235	0.910000
0.000761126	0.911000
0.000763017	0.912000
0.000776254	0.913000
0.000794692	0.914000
0.000797528	0.915000
0.000809347	0.916000
0.000816438	0.917000
0.000816911	0.919000
0.000842439	0.921000
0.000844803	0.922000
0.000863713	0.923000
0.000867968	0.925000
0.000868913	0.926000
0.000872222	0.927000
0.00087695	0.928000
0.000892078	0.929000
0.000896805	0.930000
0.000912406	0.931000
0.000929425	0.932000
0.000949753	0.933000
0.000959681	0.934000
0.000961572	0.935000
0.000997974	0.936000
0.000998919	0.937000
0.001	0.938000
	ROC_12_60
0	0
4.72749e-07	0.001000
9.45499e-07	0.002000
1.891e-06	0.003000
2.8365e-06	0.013000
3.30925e-06	0.015000
3.78199e-06	0.018000
4.72749e-06	0.021000
5.67299e-06	0.029000
6.14574e-06	0.030000
7.09124e-06	0.033000
7.56399e-06	0.041000
8.03674e-06	0.043000
8.50949e-06	0.046000
8.98224e-06	0.049000
9.45499e-06	0.052000
1.04005e-05	0.054000
1.08732e-05	0.056000
1.1346e-05	0.057000
1.18187e-05	0.061000
1.22915e-05	0.068000
1.27642e-05	0.073000
1.3237e-05	0.075000
1.37097e-05	0.077000
1.41825e-05	0.083000
1.5128e-05	0.087000
1.60735e-05	0.088000
1.7019e-05	0.093000
1.74917e-05	0.098000
1.79645e-05	0.102000
1.84372e-05	0.108000
1.891e-05	0.113000
1.93827e-05	0.115000
1.98555e-05	0.118000
2.03282e-05	0.127000
2.0801e-05	0.128000
2.12737e-05	0.129000
2.17465e-05	0.130000
2.22192e-05	0.131000
2.2692e-05	0.134000
2.31647e-05	0.136000
2.41102e-05	0.140000
2.4583e-05	0.153000
2.50557e-05	0.154000
2.6474e-05	0.156000
2.69467e-05	0.157000
2.74195e-05	0.158000
2.78922e-05	0.159000
2.8365e-05	0.160000
2.93105e-05	0.165000
3.0256e-05	0.169000
3.07287e-05	0.170000
3.12015e-05	0.173000
3.2147e-05	0.174000
3.26197e-05	0.175000
3.30925e-05	0.181000
3.35652e-05	0.182000
3.4038e-05	0.183000
3.45107e-05	0.186000
3.49834e-05	0.188000
3.54562e-05	0.189000
3.59289e-05	0.193000
3.64017e-05	0.195000
3.97109e-05	0.198000
4.01837e-05	0.199000
4.06564e-05	0.201000
4.30202e-05	0.205000
4.34929e-05	0.208000
4.53839e-05	0.209000
4.58567e-05	0.217000
4.63294e-05	0.219000
4.68022e-05	0.227000
4.72749e-05	0.228000
4.82204e-05	0.229000
4.91659e-05	0.241000
4.96387e-05	0.244000
5.05842e-05	0.250000
5.15297e-05	0.254000
5.20024e-05	0.259000
5.24752e-05	0.261000
5.29479e-05	0.263000
5.34207e-05	0.269000
5.43662e-05	0.273000
5.48389e-05	0.274000
5.57844e-05	0.277000
5.62572e-05	0.280000
5.67299e-05	0.283000
5.72027e-05	0.286000
5.76754e-05	0.293000
5.81482e-05	0.300000
5.86209e-05	0.301000
6.09847e-05	0.302000
6.14574e-05	0.304000
6.24029e-05	0.305000
6.33484e-05	0.306000
6.52394e-05	0.308000
6.57122e-05	0.309000
6.61849e-05	0.310000
6.66577e-05	0.312000
6.76032e-05	0.313000
6.80759e-05	0.314000
6.90214e-05	0.315000
7.09124e-05	0.319000
7.13851e-05	0.320000
7.18579e-05	0.322000
7.23306e-05	0.323000
7.28034e-05	0.326000
7.42216e-05	0.330000
7.46944e-05	0.331000
7.51671e-05	0.332000
7.61126e-05	0.334000
7.65854e-05	0.339000
7.70581e-05	0.341000
7.80036e-05	0.345000
7.89491e-05	0.355000
7.94219e-05	0.356000
8.03674e-05	0.358000
8.13129e-05	0.371000
8.17856e-05	0.373000
8.22584e-05	0.375000
8.46221e-05	0.376000
8.50949e-05	0.378000
8.65131e-05	0.380000
8.69859e-05	0.382000
8.74586e-05	0.384000
8.84041e-05	0.390000
8.88769e-05	0.394000
8.98224e-05	0.396000
9.12406e-05	0.398000
9.17134e-05	0.402000
9.31316e-05	0.403000
9.36044e-05	0.404000
9.40771e-05	0.405000
9.50226e-05	0.406000
9.59681e-05	0.408000
9.64409e-05	0.413000
9.73864e-05	0.414000
9.83319e-05	0.415000
9.88046e-05	0.417000
9.92774e-05	0.419000
9.97501e-05	0.420000
0.000100223	0.422000
0.000100696	0.425000
