	PRC_12_25
0.925000	0.857213
0.927000	0.853185
0.929000	0.852824
0.930000	0.852329
0.931000	0.852307
0.933000	0.852577
0.935000	0.850035
0.936000	0.850016
0.937000	0.850152
0.938000	0.849822
0.939000	0.847948
0.940000	0.848086
0.941000	0.847453
0.942000	0.847591
0.943000	0.847728
0.944000	0.847098
0.945000	0.846929
0.946000	0.845389
0.947000	0.842648
0.948000	0.842788
0.949000	0.842928
0.950000	0.843067
0.951000	0.843206
0.952000	0.843345
0.953000	0.840338
0.954000	0.840181
0.955000	0.839875
0.956000	0.839124
0.958000	0.834107
0.959000	0.833084
0.960000	0.833228
0.961000	0.830183
0.962000	0.827739
0.963000	0.826028
0.964000	0.822627
0.965000	0.822073
0.966000	0.819695
0.967000	0.817475
0.968000	0.804490
0.969000	0.803175
0.970000	0.803338
0.971000	0.794758
0.972000	0.790628
0.973000	0.787704
0.974000	0.787363
0.975000	0.786639
0.976000	0.783756
0.977000	0.780775
0.978000	0.778571
0.979000	0.776632
0.980000	0.773352
0.981000	0.769741
0.982000	0.768587
0.983000	0.764792
0.984000	0.764975
0.985000	0.765158
0.986000	0.765101
0.987000	0.761714
0.988000	0.757311
0.989000	0.743279
0.990000	0.731304
0.991000	0.695125
0.992000	0.691531
0.993000	0.688174
0.994000	0.681357
0.995000	0.675794
0.996000	0.667258
0.997000	0.635761
0.998000	0.619146
0.999000	0.619073
0.999882	0.573285
	PRC_12_26
0	1
0.002000	0.712850
0.003000	0.712850
0.006000	0.809731
0.007000	0.832355
0.009000	0.864564
0.010000	0.861232
0.011000	0.858524
0.014000	0.874230
0.018000	0.881622
0.020000	0.884239
0.027000	0.911598
0.029000	0.917190
0.031000	0.911198
0.033000	0.916128
0.035000	0.920540
0.038000	0.926351
0.039000	0.928104
0.040000	0.929775
0.041000	0.931371
0.044000	0.931758
0.045000	0.933173
0.046000	0.930723
0.047000	0.932096
0.048000	0.933417
0.051000	0.930202
0.054000	0.933823
0.055000	0.925443
0.059000	0.930144
0.062000	0.933299
0.064000	0.929775
0.065000	0.928104
0.066000	0.929116
0.067000	0.927507
0.070000	0.920540
0.071000	0.921572
0.072000	0.922577
0.073000	0.921209
0.074000	0.922191
0.075000	0.923148
0.077000	0.924995
0.081000	0.922048
0.082000	0.920838
0.083000	0.921717
0.084000	0.922577
0.085000	0.923418
0.086000	0.924241
0.088000	0.921928
0.089000	0.922737
0.091000	0.924307
0.093000	0.922116
0.095000	0.923630
0.096000	0.922577
0.098000	0.924037
0.100000	0.925443
0.101000	0.926126
0.103000	0.925778
0.105000	0.927088
0.106000	0.927727
0.107000	0.928354
0.117000	0.934074
0.118000	0.934596
0.120000	0.935616
0.121000	0.933205
0.122000	0.932280
0.123000	0.931371
0.125000	0.932394
0.126000	0.932895
0.127000	0.933388
0.128000	0.933874
0.129000	0.934353
0.130000	0.933473
0.131000	0.932608
0.132000	0.933085
0.134000	0.934017
0.135000	0.934474
0.136000	0.934925
0.137000	0.935369
0.140000	0.934149
0.141000	0.932096
0.143000	0.931758
0.144000	0.932200
0.145000	0.932636
0.147000	0.933492
0.149000	0.933147
0.154000	0.934035
0.156000	0.933698
0.159000	0.933762
0.161000	0.934531
0.166000	0.935315
0.169000	0.936390
0.171000	0.936054
0.172000	0.936402
0.173000	0.936746
0.174000	0.936072
0.179000	0.937746
0.181000	0.934489
0.182000	0.934825
0.183000	0.935158
0.186000	0.936137
0.187000	0.936457
0.188000	0.936774
0.190000	0.937398
0.191000	0.935854
0.193000	0.936477
0.194000	0.934965
0.195000	0.935277
0.196000	0.935586
0.197000	0.934997
0.200000	0.935910
0.203000	0.935927
0.208000	0.935672
0.210000	0.936246
0.213000	0.937087
0.215000	0.934353
0.216000	0.933011
0.219000	0.931468
0.227000	0.932950
0.228000	0.933225
0.229000	0.933497
0.230000	0.933767
0.231000	0.933274
0.233000	0.933809
0.235000	0.932096
0.236000	0.932365
0.237000	0.932631
0.239000	0.931692
0.240000	0.931229
0.242000	0.931758
0.245000	0.932537
0.246000	0.932081
0.248000	0.932592
0.249000	0.932141
0.251000	0.931252
0.252000	0.929430
0.255000	0.930202
0.256000	0.929775
0.257000	0.929352
0.258000	0.929607
0.259000	0.929859
0.260000	0.930110
0.261000	0.929692
0.263000	0.929527
0.265000	0.930022
0.268000	0.930100
0.269000	0.929694
0.270000	0.929937
0.272000	0.930416
0.273000	0.930015
0.278000	0.929932
0.279000	0.929541
0.281000	0.930008
0.283000	0.929237
0.285000	0.929699
0.287000	0.930155
0.288000	0.929775
0.289000	0.927596
0.290000	0.927828
0.291000	0.928058
0.293000	0.928514
0.294000	0.928149
0.296000	0.928600
0.301000	0.929703
0.302000	0.929919
0.305000	0.927710
0.308000	0.927801
0.312000	0.928660
0.317000	0.928610
0.318000	0.928272
0.320000	0.928146
0.324000	0.928970
0.325000	0.926505
0.331000	0.927741
0.332000	0.927421
0.336000	0.928223
0.337000	0.928421
0.340000	0.928497
0.341000	0.928692
0.342000	0.928885
0.345000	0.928956
0.346000	0.929147
0.347000	0.928335
0.349000	0.927225
0.350000	0.927418
0.352000	0.927801
0.353000	0.927991
0.354000	0.928180
0.356000	0.928554
0.359000	0.928141
0.363000	0.928398
0.364000	0.928581
0.365000	0.927812
0.366000	0.927995
0.369000	0.928068
0.370000	0.926843
0.371000	0.927026
0.373000	0.926925
0.375000	0.927286
0.378000	0.925534
0.379000	0.925716
0.382000	0.925804
0.390000	0.926771
0.392000	0.927118
0.394000	0.926582
0.397000	0.924488
0.398000	0.923799
0.404000	0.924419
0.405000	0.924592
0.407000	0.924934
0.408000	0.925105
0.410000	0.925443
0.412000	0.925778
0.413000	0.925526
0.416000	0.925194
0.417000	0.925360
0.418000	0.925525
0.419000	0.925278
0.422000	0.925770
0.424000	0.926094
0.425000	0.926255
0.426000	0.926416
0.428000	0.926734
0.430000	0.926246
0.432000	0.926162
0.433000	0.925921
0.434000	0.924887
0.436000	0.925205
0.439000	0.924109
0.441000	0.924427
0.442000	0.924585
0.443000	0.924742
0.444000	0.924899
0.445000	0.925055
0.446000	0.925211
0.448000	0.925520
0.449000	0.925289
0.450000	0.925443
0.451000	0.925596
0.452000	0.924604
0.455000	0.924685
0.456000	0.924460
0.460000	0.923572
0.461000	0.923725
0.465000	0.923961
0.466000	0.924112
0.467000	0.924262
0.468000	0.923677
0.469000	0.923095
0.470000	0.923246
0.471000	0.923396
0.473000	0.923332
0.474000	0.922758
0.477000	0.922846
0.478000	0.922995
0.479000	0.923144
0.480000	0.922577
0.481000	0.922725
0.482000	0.922873
0.483000	0.923021
0.484000	0.921044
0.485000	0.921194
0.486000	0.920641
0.487000	0.920440
0.488000	0.920590
0.489000	0.920391
0.490000	0.920540
0.491000	0.920342
0.492000	0.920491
0.493000	0.919256
0.494000	0.917343
0.495000	0.916812
0.496000	0.916624
0.501000	0.917388
0.502000	0.917539
0.503000	0.917689
0.504000	0.917503
0.505000	0.917317
0.506000	0.917132
0.507000	0.917282
0.508000	0.917431
0.510000	0.917728
0.511000	0.917876
0.512000	0.918023
0.513000	0.918170
0.514000	0.918316
0.516000	0.917620
0.517000	0.917766
0.518000	0.917912
0.520000	0.918202
0.521000	0.918346
0.524000	0.918127
0.530000	0.918337
0.532000	0.918300
0.533000	0.918441
0.535000	0.918403
0.536000	0.918226
0.537000	0.917734
0.539000	0.918014
0.545000	0.918220
0.547000	0.918184
0.549000	0.916605
0.551000	0.916882
0.552000	0.917020
0.556000	0.917263
0.558000	0.917535
0.559000	0.917671
0.560000	0.917806
0.562000	0.916566
0.563000	0.916702
0.568000	0.917375
0.569000	0.917508
0.572000	0.917905
0.574000	0.917281
0.575000	0.917413
0.576000	0.917545
0.577000	0.917676
0.578000	0.917807
0.580000	0.918067
0.583000	0.918454
0.585000	0.918710
0.587000	0.918096
0.588000	0.916495
0.590000	0.916754
0.593000	0.917140
0.594000	0.916128
0.595000	0.916258
0.598000	0.914666
0.599000	0.914796
0.600000	0.914926
0.601000	0.915056
0.602000	0.915185
0.603000	0.915314
0.605000	0.915570
0.607000	0.915825
0.608000	0.915396
0.610000	0.915650
0.611000	0.914948
0.613000	0.915202
0.616000	0.914758
0.617000	0.913793
0.618000	0.913921
0.619000	0.913504
0.620000	0.912819
0.621000	0.912407
0.623000	0.911588
0.624000	0.911717
0.625000	0.911846
0.627000	0.911568
0.628000	0.911696
0.629000	0.911558
0.630000	0.911686
0.632000	0.911676
0.635000	0.912057
0.636000	0.912183
0.637000	0.912309
0.639000	0.912297
0.640000	0.912422
0.644000	0.912658
0.645000	0.911482
0.646000	0.911607
0.647000	0.911732
0.649000	0.911980
0.650000	0.911846
0.651000	0.909403
0.652000	0.909530
0.653000	0.909146
0.655000	0.908636
0.656000	0.908762
0.657000	0.908635
0.659000	0.908635
0.661000	0.908383
0.662000	0.908509
0.663000	0.908634
0.665000	0.908884
0.668000	0.909007
0.670000	0.909254
0.671000	0.908880
0.672000	0.909004
0.673000	0.909127
0.674000	0.909249
0.675000	0.908139
0.676000	0.906791
0.677000	0.906915
0.678000	0.907040
0.679000	0.907164
0.683000	0.907658
0.684000	0.907780
0.686000	0.908024
0.690000	0.906585
0.691000	0.906468
0.692000	0.904919
0.693000	0.905044
0.694000	0.905167
0.695000	0.904579
0.698000	0.904242
0.699000	0.903659
0.701000	0.903673
0.702000	0.903563
0.704000	0.902643
0.705000	0.902768
0.706000	0.902892
0.709000	0.903032
0.710000	0.903155
0.711000	0.903278
0.713000	0.902142
0.716000	0.902512
0.717000	0.901720
0.719000	0.901967
0.720000	0.902089
0.721000	0.900397
0.722000	0.899617
0.723000	0.899516
0.724000	0.899641
0.726000	0.899890
0.728000	0.899689
0.729000	0.898696
0.730000	0.898821
0.731000	0.898945
0.732000	0.899069
0.733000	0.899193
0.734000	0.899317
0.740000	0.900051
0.741000	0.900173
0.743000	0.899098
0.744000	0.899220
0.745000	0.899342
0.746000	0.899463
0.748000	0.899705
0.749000	0.899825
0.754000	0.900424
0.755000	0.899462
0.756000	0.899366
0.757000	0.899055
0.758000	0.898102
0.759000	0.898223
0.760000	0.897702
0.762000	0.897730
0.763000	0.897000
0.764000	0.897121
0.765000	0.897241
0.766000	0.897150
0.767000	0.897270
0.768000	0.897179
0.770000	0.897419
0.771000	0.897538
0.772000	0.897658
0.774000	0.897476
0.776000	0.897713
0.779000	0.897441
0.780000	0.897560
0.784000	0.898029
0.785000	0.898146
0.786000	0.898262
0.787000	0.898172
0.788000	0.898288
0.789000	0.898403
0.790000	0.898519
0.792000	0.898749
0.793000	0.898864
0.794000	0.898569
0.795000	0.898683
0.796000	0.898389
0.799000	0.897106
0.800000	0.896816
0.801000	0.895518
0.802000	0.894428
0.804000	0.893661
0.806000	0.892900
0.807000	0.892223
0.808000	0.891153
0.809000	0.891075
0.810000	0.890800
0.811000	0.890920
0.812000	0.891040
0.813000	0.890766
0.814000	0.890885
0.815000	0.891005
0.816000	0.890340
0.817000	0.889288
0.818000	0.889409
0.819000	0.889529
0.820000	0.889649
0.824000	0.888965
0.825000	0.888699
0.827000	0.887785
0.829000	0.887643
0.831000	0.887883
0.832000	0.888002
0.833000	0.888122
0.834000	0.887099
0.835000	0.887219
0.836000	0.887339
0.838000	0.887577
0.839000	0.887696
0.840000	0.887060
0.841000	0.887179
0.842000	0.887298
0.843000	0.887416
0.844000	0.887535
0.845000	0.887653
0.846000	0.886272
0.847000	0.884341
0.848000	0.884462
0.849000	0.884582
0.850000	0.884146
0.851000	0.884081
0.852000	0.884202
0.854000	0.884442
0.855000	0.884377
0.856000	0.884496
0.857000	0.884064
0.858000	0.884184
0.859000	0.883936
0.861000	0.883809
0.862000	0.881743
0.865000	0.880658
0.867000	0.879281
0.869000	0.879525
0.870000	0.879110
0.871000	0.878517
0.872000	0.878640
0.873000	0.878406
0.874000	0.878172
0.875000	0.878295
0.876000	0.877531
0.877000	0.877653
0.878000	0.877775
0.879000	0.876487
0.880000	0.876083
0.881000	0.874280
0.882000	0.874230
0.883000	0.874354
0.885000	0.874603
0.886000	0.874726
0.888000	0.872722
0.889000	0.872847
0.890000	0.872971
0.891000	0.871891
0.892000	0.870132
0.896000	0.868936
0.897000	0.869063
0.898000	0.868513
0.899000	0.868640
0.900000	0.868766
0.902000	0.869019
0.903000	0.867128
0.904000	0.867256
